"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm";1;"Conn_01x04_Pin";;;
2;"J2";"TerminalBlock_MaiXu_MX126-5.0-05P_1x05_P5.00mm";1;"Conn_01x05_Pin";;;
3;"C1";"R_0402_1005Metric";1;"0.1";;;
4;"R1";"R_0402_1005Metric";1;"10K";;;
5;"R3,R2";"R_0402_1005Metric";2;"4.7K";;;
6;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ATtiny25-20SS";;;
